docId,docLength
0,715
1,2761
2,609
3,417
4,573
5,300
6,284
7,493
8,294
9,317
10,343
11,373
12,309
13,134
14,295
15,661
16,1212
17,727
18,919
19,601
20,376
21,435
22,1811
23,429
24,296
25,373
26,459
27,488
28,707
29,780
30,483
31,536
32,808
33,673
34,497
35,650
36,643
37,575
38,598
39,426
40,604
41,684
42,429
43,398
44,561
45,470
46,428
47,447
48,468
49,498
50,441
51,394
52,464
53,464
54,385
55,465
56,476
57,510
58,506
59,112
60,84
61,73
62,153
63,134
64,75
65,122
66,139
67,229
68,136
69,316
70,570
71,1727
72,305
73,268
74,523
75,228
76,179
77,466
78,497
79,622
80,445
81,678
82,683
83,458
84,431
85,495
86,675
87,431
88,577
89,501
90,772
91,1595
92,460
93,376
94,352
95,871
96,390
97,224
98,128
99,177
100,136
101,301
102,304
103,161
104,133
105,561
106,253
107,359
108,201
109,473
110,171
111,220
112,171
113,149
114,640
115,325
116,458
117,905
118,612
119,524
120,514
121,379
122,447
123,487
124,774
125,642
126,499
127,646
128,489
129,613
130,496
131,481
132,488
133,488
134,473
135,765
136,801
137,654
138,516
139,490
140,685
141,384
142,442
143,433
144,408
145,484
146,429
147,450
148,468
149,498
150,441
151,395
152,464
153,465
154,386
155,466
156,476
157,511
158,507
159,498
160,641
161,772
162,906
163,613
164,525
165,515
166,405
167,499
168,686
169,437
170,477
171,671
172,485
173,355
174,368
175,355
176,353
177,338
178,951
179,463
180,611
181,438
182,490
183,1389
184,328
185,643
186,410
187,619
188,511
189,496
190,834
191,470
192,423
193,559
194,399
195,372
